time,amplitude,rms
2018-04-12 00:01,46.53689188303925,34.98526314487137
2018-04-12 00:03,47.73303492649682,35.224347234857326
2018-04-12 00:05,45.38493136507539,35.13749161375154
2018-04-12 00:08,45.26836290551594,35.265290894962334
2018-04-12 00:10,46.153879167566146,35.38736743588826
2018-04-12 00:12,45.681908489811356,35.10534747746691
2018-04-12 00:14,45.828416134724854,34.91081592105774
2018-04-12 00:17,46.47496533163653,34.718090487439895
2018-04-12 00:19,45.695065620180756,34.88746423622202
2018-04-12 00:21,46.83003765156117,34.5943829407486
2018-04-12 00:23,47.1583858519347,34.56087506174509
2018-04-12 00:26,46.69489160840084,34.95739490226986
2018-04-12 00:28,45.88682092084407,35.38286607737229
2018-04-12 00:30,47.29862101529151,34.98990210798149
2018-04-12 00:32,46.12929769383109,35.13749161375154
2018-04-12 00:34,46.6454553523857,34.98062254288458
2018-04-12 00:37,46.829499008577116,34.94809232627357
2018-04-12 00:39,46.338339056648095,34.94343856428975
2018-04-12 00:41,46.656331639087256,34.68490004191623
2018-04-12 00:43,46.978111560889936,34.42597119421317
2018-04-12 00:46,47.22547306979338,34.49841572450763
2018-04-12 00:48,45.352944637723745,34.65638364491435
2018-04-12 00:50,45.400034045505315,34.44532941267001
2018-04-12 00:52,46.76096484007907,34.50323098296182
2018-04-12 00:55,47.19063922911571,34.35798821960359
2018-04-12 00:57,46.804165251471396,34.90614891127297
2018-04-12 00:59,46.12314736143491,34.42597119421317
2018-04-12 01:01,46.47990499981929,34.49841572450763
2018-04-12 01:04,46.06377852635255,34.44049257294232
2018-04-12 01:06,46.37534767689226,34.551285481258176
2018-04-12 01:08,47.46488210045555,34.43565392436613
2018-04-12 01:10,46.10300509980765,34.40173260075023
2018-04-12 01:12,46.7398684110575,34.63733795763877
2018-04-12 01:15,47.314370350246044,34.741746335625365
2018-04-12 01:17,45.972686511396205,34.64210199292158
2018-04-12 01:19,46.68078025565011,34.627804651079536
2018-04-12 01:21,46.4875863566952,34.699134867745336
2018-04-12 01:24,44.99639641686962,35.031579249302496
2018-04-12 01:26,45.7070708074064,35.01770154592429
2018-04-12 01:28,46.485392002644254,35.2289027975939
2018-04-12 01:30,46.56040346803605,34.68490004191623
2018-04-12 01:33,46.606793567784436,34.97133641685482
2018-04-12 01:35,45.823304345406065,34.421127109402484
2018-04-12 01:37,46.422194903190764,34.47913677797932
2018-04-12 01:39,46.23410614480186,34.39202442198872
2018-04-12 01:41,46.07947884490388,34.274953064375715
2018-04-12 01:44,46.17954406254239,34.34824708552007
2018-04-12 01:46,46.285739811955175,34.38230894284484
2018-04-12 01:48,46.14606123356354,34.60871705151796
2018-04-12 01:50,46.32451130716672,34.68015164232889
2018-04-12 01:53,46.422745356242366,34.59916273416409
2018-04-12 01:55,46.06714396890079,34.64210199292158
2018-04-12 01:57,47.02614298451444,35.01770154592429
2018-04-12 01:59,47.75917385883666,34.64686428488934
2018-04-12 02:02,46.45629267819877,34.49841572450763
2018-04-12 02:04,47.16632222570126,34.49359867636664
2018-04-12 02:06,47.02241165639127,34.49841572450763
2018-04-12 02:08,46.34718351797272,34.53688781337552
2018-04-12 02:11,45.925847131730926,34.603940770577154
2018-04-12 02:13,46.52375635698538,34.83594351830953
2018-04-12 02:15,45.2882288807572,34.85470179160249
2018-04-12 02:17,45.90040427700622,35.07773280980026
2018-04-12 02:19,46.88221227964972,34.80775558179425
2018-04-12 02:22,46.08732415762147,34.79363879316043
2018-04-12 02:24,46.18233163873911,34.92014495957723
2018-04-12 02:26,46.40787748990005,35.00380917758298
2018-04-12 02:28,46.190691915208646,34.98526314487137
2018-04-12 02:31,47.19644943029365,34.627804651079536
2018-04-12 02:33,47.79498979525152,34.68015164232889
2018-04-12 02:35,46.11363839265797,34.737018596045864
2018-04-12 02:37,47.14726920770913,34.627804651079536
2018-04-12 02:40,46.50622805850557,34.56087506174509
2018-04-12 02:42,46.09684626873714,34.49841572450763
2018-04-12 02:44,47.22600035054857,34.50323098296182
2018-04-12 02:46,45.868128069465804,34.78892980659693
2018-04-12 02:49,46.86232782371138,34.603940770577154
2018-04-12 02:51,47.43310559716901,34.551285481258176
2018-04-12 02:53,44.878673722706814,34.727557974736655
2018-04-12 02:55,46.13041572262742,34.76064018758235
2018-04-12 02:57,47.05330576827375,34.868752876767
2018-04-12 03:00,46.82572807262545,34.454997672019836
2018-04-12 03:02,46.460138559353474,34.36772200719869
2018-04-12 03:04,46.28352189995227,34.584818076778035
2018-04-12 03:06,46.10188546043043,34.84063560798929
2018-04-12 03:09,45.488092115252826,34.675401511436306
2018-04-12 03:11,46.07499435881704,34.741746335625365
2018-04-12 03:13,47.82359182857462,34.76064018758235
2018-04-12 03:15,46.153879167566146,34.76064018758235
2018-04-12 03:18,46.296271351078545,35.17413208258978
2018-04-12 03:20,47.561953574193176,35.12372515249018
2018-04-12 03:22,48.26820990683856,35.05929080557514
2018-04-12 03:24,46.376451299567904,34.99453943356905
2018-04-12 03:27,46.04020378608609,35.526158139274784
2018-04-12 03:29,47.344780940715935,35.13290439026043
2018-04-12 03:31,48.37692637551091,35.210671115767106
2018-04-12 03:33,45.617136158995045,34.77950673930292
2018-04-12 03:35,47.19222401053313,34.81715831269116
2018-04-12 03:38,46.48813490529879,34.8968099037131
2018-04-12 03:40,46.4650821119075,35.07312473028404
2018-04-12 03:42,47.36049087007761,34.87811189763815
2018-04-12 03:44,47.7540515354879,34.74647236310782
2018-04-12 03:47,44.83628780516062,34.81715831269116
2018-04-12 03:49,47.09795797830185,34.79363879316043
